year,month,BNFCode,BNFName,TotalItems,TotalCost
2012,2012-07-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,144,30738.110000000004
2018,2018-07-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,5794,282934.6439399993
2017,2017-05-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,3,3376.85027
2016,2016-04-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,2,1672.86
2017,2017-11-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg,72703,2711306.62628997
2018,2018-07-01,0208020Y0BBABAB,Xarelto_Tab 15mg,133,5238.6464
2013,2013-01-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,165,35396.950000000004
2011,2011-05-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,64,8395.679999999998
2015,2015-10-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,34909,1486926.4299999988
2015,2015-04-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,412302,883218.2300000004
2016,2016-08-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,166885,7818035.850000001
2017,2017-06-01,0208020X0BBACAC,Pradaxa_Cap 150mg,346,17590.67479
2015,2015-02-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,20126,837358.26
2011,2011-05-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,697,477.93999999999994
2011,2011-07-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,15,1509.3199999999997
2014,2014-11-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,149,97.54999999999993
2014,2014-12-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,155,101.41999999999997
2011,2011-10-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,104,8754.75
2012,2012-08-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,27,977.1800000000002
2016,2016-04-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,284,15130.510000000002
2012,2012-05-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1341,6719.250000000005
2013,2013-09-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,179,117.64999999999996
2017,2017-01-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,70393,133694.17603999993
2011,2011-06-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,199,16382.819999999996
2014,2014-05-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,10890,449861.72000000026
2018,2018-10-01,0208020AAAAACAC,Edoxaban_Tab 60mg,22309,1079028.2800499955
2017,2017-12-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,1244,6403.667970000013
2018,2018-11-01,0208020X0BBACAC,Pradaxa_Cap 150mg,284,14351.559930000005
2017,2017-08-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg,443,19642.937899999994
2018,2018-03-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg,306923,341812.29423999874
2015,2015-06-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,157,145.13000000000002
2016,2016-05-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg                       ,1,46.65
2018,2018-12-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg,8,174.34234
2016,2016-03-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,45290,2087039.2499999986
2015,2015-07-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,34491,1908152.8399999994
2015,2015-05-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,25541,1081021.3399999999
2011,2011-06-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,34,3456.1099999999988
2013,2013-03-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,1,60.93
2012,2012-06-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,170,8217.009999999998
2012,2012-10-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,8,484.20000000000005
2011,2011-02-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,1792,1105.2599999999998
2018,2018-06-01,0208020N0AAABAB,Phenindione_Tab 25mg,28,60848.06079
2018,2018-08-01,0208020V0BBACAD,Marevan_Tab 5mg,10,7.98129
2014,2014-03-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,126904,179187.71
2012,2012-04-01,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,1,552.87
2016,2016-04-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,60,38.47
2015,2015-03-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,392,20779.260000000002
2015,2015-12-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,10,1493.41
2017,2017-12-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg,4,186.76291
2011,2011-09-01,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,2,519.27
2018,2018-09-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,306,10549.019180000003
2018,2018-01-01,0208020Z0AAABAB,Apixaban_Tab 5mg,205968,9889863.604479963
2016,2016-02-01,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,83,5518.619999999999
2016,2016-01-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,75445,156668.20999999996
2017,2017-06-01,0208020Y0BBABAB,Xarelto_Tab 15mg,140,4935.384660000001
2017,2017-02-01,0208020V0BBACAD,Marevan_Tab 5mg,30,25.083329999999997
2013,2013-11-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,10066,528318.5699999998
2015,2015-02-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,54,15173.449999999997
2012,2012-09-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,34,3251.9499999999994
2017,2017-08-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,15,705.6458600000001
2017,2017-12-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,65029,117798.6261700003
2016,2016-03-01,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,90,4411.76
2017,2017-08-01,0208020H0BBAAAA,Sinthrome_Tab 1mg,1191,5949.72965
2015,2015-08-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,25,1300.18
2017,2017-11-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,222631,10702442.437800037
2016,2016-01-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,119073,157848.42999999996
2015,2015-11-01,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,11,597.5100000000001
2018,2018-05-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg,625,27191.189630000008
2016,2016-03-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,220,8464.899999999998
2011,2011-04-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,22,2375.69
2017,2017-04-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg,492,20765.43059
2016,2016-02-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,60,85038.64000000001
2018,2018-01-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg,101755,90962.06652000017
2013,2013-03-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,167,8772.5
2018,2018-07-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg,20610,882446.5676499957
2012,2012-04-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,340985,603714.7299999997
2012,2012-05-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,2,54.34
2018,2018-04-01,0208020AABBABAB,Lixiana_Tab 30mg,32,1585.8812
2010,2010-12-01,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,8,3460.8599999999997
2015,2015-11-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,248,14021.41999999999
2015,2015-01-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,24,1313.1399999999996
2017,2017-04-01,0208020N0AAABAB,Phenindione_Tab 25mg,32,48138.0924
2013,2013-10-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,6970,442277.92999999993
2011,2011-07-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,4,313.28
2017,2017-12-01,0208020V0BBAFAS,Marevan_Tab 500mcg,8,3.56689
2010,2010-08-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,877,4375.100000000001
2013,2013-08-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,11,369.12
2018,2018-10-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,254968,12450360.475419994
2012,2012-04-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,14,864.13
2010,2010-11-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,103,21642.129999999994
2013,2013-10-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,64,22511.100000000002
2014,2014-04-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,9778,407870.8699999997
2013,2013-12-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,148,7576.170000000002
2019,2019-01-01,0208020V0BBAAAA,Marevan_Tab 1mg,2,8.82364
2012,2012-12-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,8,2687.03
2015,2015-04-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,129116,198941.6000000001
2017,2017-04-01,0208020AABBABAB,Lixiana_Tab 30mg,3,191.85297
2017,2017-04-01,0208020V0BBAFAS,Marevan_Tab 500mcg,4,0.93099
2013,2013-01-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,5353,274560.89999999997
2015,2015-06-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1575,7933.900000000009
2014,2014-12-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,94,4291.86
2010,2010-10-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,857,4339.449999999999
2018,2018-02-01,0208020N0AAACAC,Phenindione_Tab 50mg,1,48.06181
2013,2013-10-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,1345,76832.41000000012
2013,2013-02-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,2,1086.25
2017,2017-07-01,0208020V0BBABAB,Marevan_Tab 3mg,39,23.49794
2017,2017-12-01,0208020AAAAACAC,Edoxaban_Tab 60mg,8547,408626.1631200018
2011,2011-10-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,19,1309.7600000000002
2015,2015-10-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,13663,882960.7000000002
2010,2010-12-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,39,3576.859999999999
2015,2015-02-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,64992,3371832.109999998
2016,2016-07-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,234,9495.34
2018,2018-01-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,14,429.75103
2015,2015-10-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,28,1193.72
2018,2018-09-01,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),33,2783.15876
2013,2013-09-01,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,1,113.78
2019,2019-02-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg,78708,75288.09888000078
2011,2011-01-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,29,2529.3399999999997
2017,2017-10-01,0208020AABBACAC,Lixiana_Tab 60mg,55,2484.5430499999998
2017,2017-10-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,217810,10437188.715049954
2017,2017-09-01,0208020Z0AAABAB,Apixaban_Tab 5mg,171571,8260404.034219993
2010,2010-12-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,694,46770.68999999996
2018,2018-08-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,3,3767.90467
2015,2015-01-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,15051,787186.8000000005
2017,2017-09-01,0208020AAAAAAAA,Edoxaban_Tab 15mg,27,1232.4842800000001
2017,2017-05-01,0208020V0BBAAAA,Marevan_Tab 1mg,68,68.07284
2014,2014-03-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,154,108.02000000000001
2016,2016-07-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,375735,578507.58
2017,2017-02-01,0208020N0AAAAAA,Phenindione_Tab 10mg,32,55847.78103
2015,2015-05-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,93,3718.2300000000005
2012,2012-01-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,62,5509.369999999998
2015,2015-05-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,42,18471.64
2013,2013-01-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,216,162.09999999999997
2017,2017-07-01,0208020Z0AAABAB,Apixaban_Tab 5mg,160605,7702776.756129999
2013,2013-08-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,6179,391394.37999999995
2018,2018-01-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,4269,199610.1240800005
2017,2017-04-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg,326625,467094.40833999997
2014,2014-10-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,2218,116936.40000000002
2012,2012-03-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,816,45004.67000000004
2011,2011-07-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,1389,891.6799999999997
2012,2012-09-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,6,305.91
2019,2019-01-01,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),10,818.7998999999999
2017,2017-12-01,0208020Y0BBACAC,Xarelto_Tab 20mg,639,29296.48575000002
2018,2018-10-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,2,3313.74573
2015,2015-06-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,2895,148663.9300000001
2015,2015-02-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,508,26598.790000000005
2014,2014-12-01,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,73,3540.02
2018,2018-05-01,0208020AAAAACAC,Edoxaban_Tab 60mg,14381,696669.5841500018
2013,2013-03-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,463,295.87000000000006
2010,2010-08-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,906,639.1099999999997
2015,2015-04-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1405,6703.4500000000035
2015,2015-05-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,25642,1429875.539999999
2013,2013-04-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1504,7172.919999999997
2016,2016-03-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1310,6263.97
2018,2018-03-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,1163,6069.554089999996
2013,2013-04-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,131,8407.610000000008
2014,2014-11-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,122791,184189.8400000001
2015,2015-11-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,526,28255.28
2014,2014-06-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,388,21802.829999999994
2016,2016-05-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,375798,648033.97
2017,2017-04-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,17,773.99863
2015,2015-04-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,525,28332.450000000023
2018,2018-10-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg,21426,924098.9501400008
2011,2011-09-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,12,787.51
2013,2013-09-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,6,1242.54
2011,2011-09-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,56,4535.130000000001
2016,2016-06-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,3417,150619.62000000008
2015,2015-07-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,268,18801.02999999998
2015,2015-09-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,29,1461.3
2017,2017-12-01,0208020AABBABAB,Lixiana_Tab 30mg,24,1198.28553
2015,2015-12-01,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,25,1291.8400000000001
2018,2018-05-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,7,1038.31212
2018,2018-09-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg,17924,919820.9671200013
2016,2016-07-01,0208020V0AABDBD,Warfarin Sod_Cap 5mg                    ,1,417.98
2018,2018-10-01,0208020Y0BBABAB,Xarelto_Tab 15mg,127,4938.02166
2017,2017-06-01,0208020AAAAAAAA,Edoxaban_Tab 15mg,27,1217.1035000000002
2016,2016-08-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,294,32951.35
2016,2016-04-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1338,6524.68
2016,2016-06-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,2,1673.5
2011,2011-06-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,1613,1012.4199999999998
2012,2012-04-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,1,54.21
2018,2018-11-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,54186,92469.55760000073
2017,2017-11-01,0208020Z0AAABAB,Apixaban_Tab 5mg,190224,9141615.840169987
2017,2017-04-01,0208020Y0BBABAB,Xarelto_Tab 15mg,134,4554.29829
2015,2015-01-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,521,28101.17000000002
2018,2018-11-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,17,762.1657500000001
2016,2016-06-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,38,1161.28
2016,2016-11-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1426,7355.039999999993
2019,2019-01-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,327,36522.18342999999
2011,2011-07-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,520,47430.670000000006
2016,2016-06-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1554,7736.129999999999
2011,2011-04-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,12,2555.3700000000003
2018,2018-07-01,0208020V0BBAAAA,Marevan_Tab 1mg,28,24.05904
2011,2011-04-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1176,6197.3699999999935
2012,2012-07-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,2,108.52
2012,2012-02-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,721,466.92000000000036
2017,2017-05-01,0208020V0BBAFAS,Marevan_Tab 500mcg,6,3.71874
2017,2017-07-01,0208020Y0BBABAB,Xarelto_Tab 15mg,149,5578.808130000001
2014,2014-03-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,4,626.71
2012,2012-04-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,857,626.5699999999996
2012,2012-12-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,1,63.26
2018,2018-08-01,0208020V0BBAAAA,Marevan_Tab 1mg,26,39.4238
2014,2014-07-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,20,1390.7199999999998
2011,2011-03-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,5,561.56
2012,2012-02-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,2,116.38
2013,2013-10-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,250,27319.85999999998
2012,2012-05-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,774,495.17000000000036
2013,2013-06-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,308,15649.640000000007
2012,2012-04-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,42,5122.470000000001
2013,2013-06-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,373,229.04000000000005
2012,2012-10-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1757,8823.240000000003
2010,2010-08-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,17,1096.24
2015,2015-10-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,31,19.439999999999998
2017,2017-08-01,0208020N0AAABAB,Phenindione_Tab 25mg,28,54492.93479000001
2016,2016-10-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,580,26721.769999999993
2010,2010-10-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,252797,396562.1999999994
2017,2017-08-01,0208020AABBACAC,Lixiana_Tab 60mg,47,2433.11981
2018,2018-02-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,3,2266.38612
2017,2017-06-01,0208020H0BBAAAA,Sinthrome_Tab 1mg,1122,5464.89443999999
2011,2011-08-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,61,6361.160000000002
2016,2016-06-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,101,85.13
2015,2015-02-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,145,8576.849999999999
2016,2016-03-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,99,101.55000000000003
2014,2014-01-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,216,22967.089999999997
2018,2018-07-01,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),33,2866.15904
2017,2017-07-01,0208020AABBABAB,Lixiana_Tab 30mg,10,527.27336
2012,2012-05-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,177,8749.419999999996
2018,2018-02-01,0208020AABBACAC,Lixiana_Tab 60mg,83,4383.91686
2018,2018-01-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg,20673,887817.8894299964
2016,2016-09-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,15747,798229.9099999997
2017,2017-01-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg,15776,789630.6896500002
2018,2018-03-01,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),11,1228.17508
2019,2019-01-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,255061,12559435.779810008
2019,2019-01-01,0208020N0AAAAAA,Phenindione_Tab 10mg,30,54732.919680000006
2012,2012-01-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,108649,152005.3
2015,2015-03-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,68,2743.260000000001
2016,2016-04-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,3350,147962.46999999988
2014,2014-01-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,98,31172.47
2015,2015-11-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,293,33006.20000000004
2012,2012-02-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,52,4847.929999999999
2015,2015-12-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,536,29301.99000000001
2017,2017-05-01,0208020Z0AAABAB,Apixaban_Tab 5mg,150227,7247969.202650039
2016,2016-07-01,0208020V0AABABA,Warfarin Sod_Cap 1mg                    ,1,415.4
