,year,BNFCode,BNFName,TotalItems,TotalCost
135,2013,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,4,955.01
136,2015,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,5,754.58
137,2011,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,27,10544.100000000002
138,2016,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,2,622.97
139,2014,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,1,134.25
140,2011,0208020V0AAAXAX,Warfarin Sod_Liq Spec 500mcg/5ml        ,1,300.64
141,2016,0208020V0AABABA,Warfarin Sod_Cap 1mg                    ,2,553.8399999999999
142,2017,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,3608,405931.41372000024
143,2018,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,1211,134662.72555000003
144,2014,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,2990,320390.76999999984
145,2013,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,2513,265692.4500000001
146,2016,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,3522,394940.5600000015
147,2015,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,3272,370726.00999999983
148,2012,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,1597,158377.53999999995
149,2011,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,394,36231.27999999998
150,2016,0208020V0AABCBC,Warfarin Sod_Cap 3mg                    ,1,416.2
151,2016,0208020V0AABDBD,Warfarin Sod_Cap 5mg                    ,1,417.98
152,2018,0208020V0BBAAAA,Marevan_Tab 1mg,140,164.5423
153,2017,0208020V0BBAAAA,Marevan_Tab 1mg,705,684.57597
154,2013,0208020V0BBAAAA,Marevan_Tab 1mg                         ,6084,5509.7699999999995
155,2016,0208020V0BBAAAA,Marevan_Tab 1mg                         ,1151,1072.9199999999998
156,2014,0208020V0BBAAAA,Marevan_Tab 1mg                         ,3319,2723.3599999999997
157,2012,0208020V0BBAAAA,Marevan_Tab 1mg                         ,9442,7264.590000000007
158,2015,0208020V0BBAAAA,Marevan_Tab 1mg                         ,1809,1607.0499999999995
159,2011,0208020V0BBAAAA,Marevan_Tab 1mg                         ,19640,14730.839999999995
160,2010,0208020V0BBAAAA,Marevan_Tab 1mg                         ,18230,13250.790000000003
161,2018,0208020V0BBABAB,Marevan_Tab 3mg,106,67.45958999999999
162,2017,0208020V0BBABAB,Marevan_Tab 3mg,499,315.21905999999996
163,2013,0208020V0BBABAB,Marevan_Tab 3mg                         ,4704,3429.4199999999983
164,2016,0208020V0BBABAB,Marevan_Tab 3mg                         ,730,482.7400000000003
165,2015,0208020V0BBABAB,Marevan_Tab 3mg                         ,1242,792.2199999999997
166,2014,0208020V0BBABAB,Marevan_Tab 3mg                         ,2402,1546.1899999999991
167,2011,0208020V0BBABAB,Marevan_Tab 3mg                         ,18414,11622.51000000001
168,2012,0208020V0BBABAB,Marevan_Tab 3mg                         ,7492,5077.320000000002
169,2010,0208020V0BBABAB,Marevan_Tab 3mg                         ,14025,8535.070000000002
170,2018,0208020V0BBACAD,Marevan_Tab 5mg,63,56.84835
171,2017,0208020V0BBACAD,Marevan_Tab 5mg,276,229.27521
172,2013,0208020V0BBACAD,Marevan_Tab 5mg                         ,2430,1880.2099999999991
173,2015,0208020V0BBACAD,Marevan_Tab 5mg                         ,946,713.13
174,2016,0208020V0BBACAD,Marevan_Tab 5mg                         ,558,462.2699999999997
175,2012,0208020V0BBACAD,Marevan_Tab 5mg                         ,2910,2395.4200000000005
176,2011,0208020V0BBACAD,Marevan_Tab 5mg                         ,5553,4334.279999999999
177,2014,0208020V0BBACAD,Marevan_Tab 5mg                         ,1766,1267.71
178,2010,0208020V0BBACAD,Marevan_Tab 5mg                         ,5135,3824.7400000000007
179,2018,0208020V0BBAFAS,Marevan_Tab 500mcg,10,5.41935
180,2017,0208020V0BBAFAS,Marevan_Tab 500mcg,40,26.89944
181,2015,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,476,296.27000000000015
182,2014,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,1722,1112.570000000001
183,2013,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,2587,1727.9100000000014
184,2012,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,4135,2682.800000000001
185,2010,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,5509,3202.21
186,2011,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,7668,5327.000000000001
187,2016,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,222,189.9500000000001
188,2011,0208020V0BDAAAC,Coumadin_Tab 4mg                        ,1,41.83
189,2018,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg,1533,67574.57552999999
190,2017,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg,5776,256731.37626999998
191,2014,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,5370,292156.47
192,2015,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,6478,345979.89000000025
193,2013,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,3894,203091.96000000002
194,2012,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,2155,115997.33999999994
195,2010,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,147,11045.03
196,2016,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,6756,280767.8200000001
197,2011,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,876,67022.58000000002
198,2017,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg,235738,10017895.810049992
199,2018,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg,79885,3414283.646089987
200,2013,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,98551,5081270.260000001
201,2011,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,1474,96790.63000000003
202,2014,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,157463,8225151.559999993
203,2012,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,26582,1365766.7900000003
204,2016,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,219063,9359760.819999998
205,2015,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,197592,10436987.39000001
206,2010,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,167,14551.310000000003
207,2017,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg,207017,10497671.763319984
208,2018,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg,70860,3621592.9384399788
209,2014,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,114489,7378700.7399999965
210,2011,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,414,29007.53000000002
211,2013,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,66206,4173322.2900000014
212,2016,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,179672,9278074.490000004
213,2012,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,17092,1050777.1
214,2015,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,153655,9977159.259999998
215,2018,0208020X0BBAAAA,Pradaxa_Cap 75mg,61,1817.0395600000002
216,2017,0208020X0BBAAAA,Pradaxa_Cap 75mg,254,10155.233390000003
217,2015,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,370,17095.009999999995
218,2010,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,30,2390.1099999999997
219,2011,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,128,12492.140000000003
220,2014,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,380,15093.600000000006
221,2013,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,240,10056.899999999998
222,2012,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,201,10202.719999999998
223,2016,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,401,11899.490000000005
224,2017,0208020X0BBABAB,Pradaxa_Cap 110mg,4773,200473.49007
225,2018,0208020X0BBABAB,Pradaxa_Cap 110mg,1497,65181.24451
226,2013,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,2396,126489.03999999992
227,2015,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,3550,200514.38999999998
228,2016,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,4474,190892.06000000006
229,2010,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,41,3791.1699999999996
230,2014,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,3064,172037.0299999999
231,2011,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,125,10945.170000000004
232,2012,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,740,44288.979999999996
233,2017,0208020X0BBACAC,Pradaxa_Cap 150mg,3708,189964.02555
234,2018,0208020X0BBACAC,Pradaxa_Cap 150mg,1125,59143.51241
235,2015,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,2928,197012.17999999985
236,2013,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,1607,106785.51000000001
237,2014,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,2373,157272.0199999999
238,2011,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,40,2684.6600000000003
239,2016,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,3561,188497.84000000023
240,2012,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,699,43545.770000000004
241,2018,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,18110,853345.6025200011
242,2017,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,45725,1999168.9320599998
243,2015,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,34922,1788452.1700000002
244,2013,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,9703,515178.1999999999
245,2010,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,686,56118.700000000026
246,2016,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,41219,1812363.6199999973
247,2014,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,22070,1148266.6500000004
248,2012,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,2762,129432.16999999998
249,2011,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,1347,107401.16000000006
250,2018,0208020Y0AAABAB,Rivaroxaban_Tab 15mg,297754,11232680.584480044
251,2017,0208020Y0AAABAB,Rivaroxaban_Tab 15mg,784309,29204972.186369948
252,2013,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,46321,1929356.8799999997
253,2016,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,580279,21244497.769999996
254,2012,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,3286,133649.73
255,2015,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,348542,14747385.829999985
256,2014,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,151027,6304555.229999997
257,2018,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,898887,43541029.63302994
258,2017,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,2452487,117232833.32678002
259,2014,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,471159,24085542.4
260,2015,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,1136357,60254466.480000004
261,2013,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,130277,6418074.449999998
262,2012,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,8967,433698.2199999997
263,2016,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,1884489,88201254.6699999
264,2018,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg,2388,103407.41512000005
265,2017,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg,5199,228115.87413999997
266,2014,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,19,961.13
267,2016,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,2916,115149.38999999987
268,2015,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,1223,53258.01999999996
269,2018,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),131,10962.53328
270,2017,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),50,4247.8091699999995
271,2018,0208020Y0BBAAAA,Xarelto_Tab 10mg,91,4446.095969999999
272,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,302,14418.808529999998
273,2013,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,127,6807.369999999998
274,2011,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,32,2640.6500000000005
275,2015,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,275,14559.120000000003
276,2010,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,32,2856.9800000000005
277,2016,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,295,13759.589999999993
278,2012,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,59,2986.819999999999
279,2014,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,233,14230.990000000009
280,2018,0208020Y0BBABAB,Xarelto_Tab 15mg,558,21216.896990000005
281,2017,0208020Y0BBABAB,Xarelto_Tab 15mg,1690,59613.74203999999
282,2016,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,1424,55259.91999999997
283,2012,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,32,2076.6000000000004
284,2014,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,822,35530.13000000001
285,2015,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,1146,55438.949999999975
286,2013,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,380,17051.1
287,2018,0208020Y0BBACAC,Xarelto_Tab 20mg,2540,117120.62798000002
288,2017,0208020Y0BBACAC,Xarelto_Tab 20mg,7700,356361.92708999995
289,2013,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,1025,54248.57000000001
290,2012,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,86,4203.449999999999
291,2014,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,2974,159560.48999999996
292,2015,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,5128,274561.27
293,2016,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,6856,321438.5699999991
294,2017,0208020Y0BBADAD,Xarelto_Tab 2.5mg,69,1782.6738500000006
295,2018,0208020Y0BBADAD,Xarelto_Tab 2.5mg,26,481.10276999999996
296,2016,0208020Y0BBADAD,Xarelto_Tab 2.5mg                       ,18,889.67
297,2015,0208020Y0BBADAD,Xarelto_Tab 2.5mg                       ,6,380.94
298,2017,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),35,3266.9152700000004
299,2018,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),46,4580.86985
300,2017,0208020Z0AAAAAA,Apixaban_Tab 2.5mg,1185012,47728146.36837
301,2018,0208020Z0AAAAAA,Apixaban_Tab 2.5mg,493917,19929261.60311999
