,chemical_code,chemical,month,TotalItems,TotalCost
104,0208020X0,Dabigatran Etexilate,2012-01-01,943,58105.66999999998
105,0208020X0,Dabigatran Etexilate,2014-06-01,22481,1278470.9200000004
106,0208020H0,Acenocoumarol,2015-02-01,2740,13439.730000000005
107,0208020H0,Acenocoumarol,2018-10-01,2041,10220.235910000029
108,0208020Z0,Apixaban,2017-06-01,258649,11662552.488830043
109,0208020H0,Acenocoumarol,2015-12-01,3172,15960.839999999978
110,0208020X0,Dabigatran Etexilate,2015-01-01,27571,1591422.9300000004
111,0208020Y0,Rivaroxaban,2013-12-01,29270,1408684.8799999994
112,0208020X0,Dabigatran Etexilate,2014-03-01,20940,1189953.6599999997
113,0208020X0,Dabigatran Etexilate,2012-11-01,7525,412645.8399999998
114,0208020N0,Phenindione,2015-08-01,144,136967.78
115,0208020X0,Dabigatran Etexilate,2010-09-01,62,4790.29
116,0208020X0,Dabigatran Etexilate,2011-07-01,157,15592.940000000004
117,0208020Z0,Apixaban,2019-02-01,416356,18946467.20570011
118,0208020V0,Warfarin Sodium,2019-02-01,571757,683810.7687699937
119,0208020Y0,Rivaroxaban,2018-01-01,309650,14143610.833810218
120,0208020N0,Phenindione,2018-01-01,54,99618.08992
121,0208020N0,Phenindione,2017-06-01,76,156976.25646000003
122,0208020N0,Phenindione,2018-05-01,62,86149.15507000002
123,0208020V0,Warfarin Sodium,2016-09-01,892092,1291582.67
124,0208020AA,Edoxaban,2016-11-01,2136,102263.36999999984
125,0208020N0,Phenindione,2017-01-01,69,133768.88937000002
126,0208020Y0,Rivaroxaban,2014-09-01,63784,3137914.039999999
127,0208020H0,Acenocoumarol,2014-12-01,3304,16344.390000000009
128,0208020N0,Phenindione,2011-08-01,1127,107985.25999999998
129,0208020N0,Phenindione,2013-07-01,121,31588.93999999999
130,0208020N0,Phenindione,2018-09-01,61,102186.81874000002
131,0208020Z0,Apixaban,2017-12-01,318195,14452952.700270012
132,0208020Z0,Apixaban,2018-03-01,348529,15822596.432380013
133,0208020X0,Dabigatran Etexilate,2016-02-01,31241,1416076.7600000068
134,0208020X0,Dabigatran Etexilate,2015-08-01,30013,1741873.7299999986
135,0208020V0,Warfarin Sodium,2014-07-01,1004406,1632298.6799999995
136,0208020V0,Warfarin Sodium,2014-12-01,1059040,1960583.4099999995
137,0208020V0,Warfarin Sodium,2011-08-01,794403,1349138.7000000004
138,0208020H0,Acenocoumarol,2010-12-01,2192,11549.620000000003
139,0208020Z0,Apixaban,2015-02-01,29866,1544538.2600000005
140,0208020Y0,Rivaroxaban,2014-04-01,41687,2014291.16
141,0208020X0,Dabigatran Etexilate,2013-11-01,17914,1023726.9399999994
142,0208020H0,Acenocoumarol,2012-09-01,3083,15079.130000000001
143,0208020H0,Acenocoumarol,2012-04-01,2539,12732.629999999994
144,0208020N0,Phenindione,2014-01-01,212,62881.37
145,0208020Z0,Apixaban,2017-03-01,231996,10468507.531750023
146,0208020N0,Phenindione,2015-03-01,129,41449.36999999998
147,0208020N0,Phenindione,2014-02-01,140,42179.9
148,0208020AA,Edoxaban,2017-05-01,5773,267147.87065
149,0208020H0,Acenocoumarol,2017-06-01,2457,12125.565340000041
150,0208020H0,Acenocoumarol,2016-07-01,2638,13043.519999999997
151,0208020X0,Dabigatran Etexilate,2017-01-01,34984,1588310.9623899981
152,0208020N0,Phenindione,2016-11-01,85,144045.32
153,0208020Y0,Rivaroxaban,2015-01-01,88234,4396233.289999997
154,0208020Y0,Rivaroxaban,2014-03-01,38072,1853411.1899999995
155,0208020V0,Warfarin Sodium,2015-07-01,1010147,1848848.630000001
156,0208020X0,Dabigatran Etexilate,2014-11-01,25198,1446449.3100000003
157,0208020N0,Phenindione,2012-07-01,373,70917.13000000003
158,0208020AA,Edoxaban,2017-04-01,4645,216729.63736999972
159,0208020N0,Phenindione,2016-10-01,63,104435.34999999998
160,0208020N0,Phenindione,2018-10-01,57,90450.57581000001
161,0208020V0,Warfarin Sodium,2017-05-01,827847,1135182.1375999935
162,0208020X0,Dabigatran Etexilate,2018-01-01,39972,1864403.2399299978
163,0208020V0,Warfarin Sodium,2018-06-01,685201,536196.6559999997
164,0208020V0,Warfarin Sodium,2017-06-01,826509,1128337.1185899978
165,0208020N0,Phenindione,2017-11-01,60,122700.32531999999
166,0208020H0,Acenocoumarol,2016-06-01,2882,14258.39999999999
167,0208020N0,Phenindione,2016-03-01,92,157559.12999999998
168,0208020H0,Acenocoumarol,2017-02-01,2297,11668.311060000016
169,0208020V0,Warfarin Sodium,2016-11-01,882595,1305742.0700000008
170,0208020Y0,Rivaroxaban,2013-11-01,25276,1226406.6200000006
171,0208020V0,Warfarin Sodium,2014-06-01,941265,1478368.9399999995
172,0208020V0,Warfarin Sodium,2012-09-01,822136,1358289.4400000002
173,0208020Z0,Apixaban,2013-04-01,228,12150.57000000001
174,0208020Z0,Apixaban,2014-10-01,19960,1034682.5800000005
175,0208020X0,Dabigatran Etexilate,2012-09-01,5250,292063.7100000001
176,0208020N0,Phenindione,2010-11-01,2685,204592.11000000013
177,0208020N0,Phenindione,2014-11-01,143,47864.68
178,0208020Y0,Rivaroxaban,2012-07-01,874,41939.16000000004
179,0208020X0,Dabigatran Etexilate,2011-03-01,100,9141.519999999999
180,0208020X0,Dabigatran Etexilate,2016-12-01,38432,1777469.8999999987
181,0208020H0,Acenocoumarol,2017-04-01,2337,11750.001849999984
182,0208020N0,Phenindione,2019-03-01,55,84858.45256
183,0208020V0,Warfarin Sodium,2019-01-01,644957,773407.1823099905
184,0208020AA,Edoxaban,2018-03-01,20364,905673.6327800094
185,0208020Z0,Apixaban,2015-03-01,37252,1919457.2100000002
186,0208020V0,Warfarin Sodium,2013-12-01,985037,1617075.499999999
187,0208020V0,Warfarin Sodium,2015-10-01,964230,1780953.519999999
188,0208020Y0,Rivaroxaban,2014-10-01,72971,3586170.9599999995
189,0208020X0,Dabigatran Etexilate,2013-05-01,13716,766756.7200000001
190,0208020X0,Dabigatran Etexilate,2012-07-01,3849,210354.58000000005
191,0208020X0,Dabigatran Etexilate,2012-02-01,1072,64172.38000000002
192,0208020H0,Acenocoumarol,2010-09-01,1961,10248.729999999998
193,0208020Y0,Rivaroxaban,2011-09-01,89,6844.540000000002
194,0208020AA,Edoxaban,2017-07-01,7711,355152.6719800015
195,0208020H0,Acenocoumarol,2017-09-01,2252,11491.065220000002
196,0208020Y0,Rivaroxaban,2016-05-01,195558,8659125.499999994
197,0208020AA,Edoxaban,2016-03-01,249,14309.51
198,0208020Y0,Rivaroxaban,2014-08-01,57923,2832465.67
199,0208020X0,Dabigatran Etexilate,2013-07-01,15680,868096.3400000007
200,0208020X0,Dabigatran Etexilate,2015-11-01,31349,1833788.9200000004
201,0208020H0,Acenocoumarol,2012-02-01,2523,12734.380000000006
202,0208020Y0,Rivaroxaban,2012-04-01,198,9324.549999999994
203,0208020N0,Phenindione,2013-09-01,187,58038.80000000002
204,0208020Z0,Apixaban,2018-10-01,430327,19493954.401629914
205,0208020Y0,Rivaroxaban,2017-07-01,277889,12545598.973549925
206,0208020N0,Phenindione,2018-07-01,55,103390.52917999998
207,0208020H0,Acenocoumarol,2018-04-01,2079,10574.53183999993
208,0208020AA,Edoxaban,2018-08-01,32741,1471299.026799989
209,0208020X0,Dabigatran Etexilate,2019-01-01,40882,1933330.1946600217
210,0208020V0,Warfarin Sodium,2016-03-01,925439,1504934.3199999994
211,0208020Y0,Rivaroxaban,2016-02-01,172171,7558855.480000014
212,0208020Z0,Apixaban,2017-01-01,194898,8756510.303919997
213,0208020H0,Acenocoumarol,2015-08-01,2758,13489.860000000002
214,0208020H0,Acenocoumarol,2012-03-01,2679,13590.689999999999
215,0208020Y0,Rivaroxaban,2010-11-01,145,11849.799999999996
216,0208020V0,Warfarin Sodium,2017-10-01,763465,965183.2504500174
217,0208020V0,Warfarin Sodium,2017-07-01,788068,1076237.7990900013
218,0208020N0,Phenindione,2017-07-01,75,131030.22482999998
219,0208020N0,Phenindione,2018-12-01,55,100032.02201000002
220,0208020H0,Acenocoumarol,2017-12-01,2347,11877.483830000001
221,0208020V0,Warfarin Sodium,2017-11-01,769956,980234.8865099829
222,0208020N0,Phenindione,2016-08-01,76,135732.08
223,0208020X0,Dabigatran Etexilate,2016-05-01,33100,1500225.7900000033
224,0208020X0,Dabigatran Etexilate,2015-07-01,32304,1876438.0500000007
225,0208020Y0,Rivaroxaban,2015-03-01,104082,5187732.889999998
226,0208020V0,Warfarin Sodium,2013-06-01,867319,1431610.8299999996
227,0208020V0,Warfarin Sodium,2013-02-01,817928,1196619.2400000002
228,0208020V0,Warfarin Sodium,2012-11-01,896122,1234841.150000001
229,0208020Y0,Rivaroxaban,2018-02-01,283430,12920130.677699752
230,0208020Y0,Rivaroxaban,2017-10-01,294925,13345455.890169676
231,0208020V0,Warfarin Sodium,2018-04-01,689676,538024.6486499985
232,0208020X0,Dabigatran Etexilate,2018-04-01,38962,1822610.1109999837
233,0208020V0,Warfarin Sodium,2015-08-01,911709,1662398.0600000003
234,0208020V0,Warfarin Sodium,2015-11-01,920394,1701122.69
235,0208020V0,Warfarin Sodium,2011-04-01,724604,1200025.3499999996
236,0208020H0,Acenocoumarol,2012-01-01,2530,12929.629999999997
237,0208020Y0,Rivaroxaban,2013-05-01,12053,570920.9900000005
238,0208020Y0,Rivaroxaban,2013-03-01,8023,378260.5199999999
239,0208020Y0,Rivaroxaban,2012-11-01,3263,149550.62999999998
240,0208020X0,Dabigatran Etexilate,2013-06-01,13572,754761.5500000011
241,0208020H0,Acenocoumarol,2012-10-01,3247,15831.749999999998
242,0208020X0,Dabigatran Etexilate,2015-06-01,30642,1776777.5000000012
243,0208020H0,Acenocoumarol,2014-07-01,3222,16075.93999999999
244,0208020H0,Acenocoumarol,2015-09-01,2866,14215.09
245,0208020AA,Edoxaban,2016-01-01,96,5602.06
246,0208020N0,Phenindione,2015-01-01,144,53030.580000000016
247,0208020Y0,Rivaroxaban,2011-02-01,121,10162.769999999995
248,0208020Y0,Rivaroxaban,2011-08-01,101,7215.040000000002
249,0208020H0,Acenocoumarol,2016-10-01,2803,14082.679999999988
250,0208020V0,Warfarin Sodium,2019-03-01,604739,727310.993339997
251,0208020H0,Acenocoumarol,2017-11-01,2280,11757.525970000052
252,0208020AA,Edoxaban,2016-06-01,647,31792.43
253,0208020X0,Dabigatran Etexilate,2016-04-01,33986,1556758.410000003
254,0208020Y0,Rivaroxaban,2016-04-01,197977,8774201.00000001
255,0208020V0,Warfarin Sodium,2014-09-01,967585,1577375.209999999
256,0208020Y0,Rivaroxaban,2010-08-01,133,10558.219999999998
257,0208020H0,Acenocoumarol,2014-02-01,2850,14032.610000000006
258,0208020H0,Acenocoumarol,2014-01-01,3193,16027.429999999995
259,0208020N0,Phenindione,2013-02-01,290,60162.749999999985
260,0208020Y0,Rivaroxaban,2011-03-01,140,11017.339999999995
261,0208020X0,Dabigatran Etexilate,2010-12-01,98,8070.960000000003
262,0208020N0,Phenindione,2014-06-01,146,44867.319999999985
263,0208020N0,Phenindione,2015-04-01,126,47560.53999999998
264,0208020V0,Warfarin Sodium,2018-11-01,654946,716429.3787399972
265,0208020X0,Dabigatran Etexilate,2019-02-01,37007,1751753.7310100258
266,0208020Y0,Rivaroxaban,2016-07-01,211317,9394987.600000013
267,0208020V0,Warfarin Sodium,2014-02-01,870497,1453932.4900000002
268,0208020V0,Warfarin Sodium,2012-05-01,883420,1449664.0599999998
269,0208020H0,Acenocoumarol,2012-11-01,3390,16618.45
270,0208020Z0,Apixaban,2015-04-01,40932,2111156.0099999984
271,0208020Z0,Apixaban,2014-12-01,27307,1413083.2000000004
272,0208020H0,Acenocoumarol,2015-07-01,3137,15587.780000000002
273,0208020Y0,Rivaroxaban,2011-04-01,133,11025.53
274,0208020Z0,Apixaban,2016-12-01,198092,8992920.830000008
275,0208020AA,Edoxaban,2016-12-01,2639,124917.70999999995
276,0208020Z0,Apixaban,2012-09-01,2,88.74
277,0208020H0,Acenocoumarol,2016-09-01,2529,12237.909999999996
278,0208020X0,Dabigatran Etexilate,2016-08-01,35430,1624139.8999999994
279,0208020Y0,Rivaroxaban,2015-11-01,155206,7934703.9399999995
280,0208020Y0,Rivaroxaban,2014-07-01,57008,2784504.700000001
281,0208020V0,Warfarin Sodium,2012-01-01,787807,1319598.3899999983
282,0208020H0,Acenocoumarol,2014-04-01,2997,15207.499999999998
283,0208020N0,Phenindione,2012-12-01,203,44308.69
284,0208020Y0,Rivaroxaban,2011-07-01,110,8710.56
285,0208020Y0,Rivaroxaban,2016-12-01,251957,11369887.009999976
286,0208020Y0,Rivaroxaban,2010-12-01,125,9622.579999999996
287,0208020X0,Dabigatran Etexilate,2018-10-01,41487,1950812.3729200051
288,0208020Y0,Rivaroxaban,2017-09-01,283438,12888038.37138011
289,0208020Y0,Rivaroxaban,2019-02-01,324303,15036411.911029752
290,0208020V0,Warfarin Sodium,2018-01-01,747331,828592.5153399968
291,0208020Z0,Apixaban,2019-03-01,456303,20942559.264749978
292,0208020H0,Acenocoumarol,2019-01-01,2003,10207.316399999978
293,0208020Y0,Rivaroxaban,2017-11-01,300774,13659235.761210388
294,0208020H0,Acenocoumarol,2016-02-01,2659,13190.33999999998
295,0208020V0,Warfarin Sodium,2017-02-01,765474,1065256.4240800007
296,0208020AA,Edoxaban,2017-01-01,2971,140614.93596000006
297,0208020X0,Dabigatran Etexilate,2015-09-01,31900,1856987.7700000007
298,0208020Y0,Rivaroxaban,2015-09-01,145647,7389779.389999998
299,0208020H0,Acenocoumarol,2015-03-01,3023,14860.490000000007
300,0208020X0,Dabigatran Etexilate,2011-12-01,798,48270.399999999994
301,0208020X0,Dabigatran Etexilate,2014-09-01,25343,1458844.9600000007
302,0208020H0,Acenocoumarol,2013-04-01,3194,15758.360000000002
303,0208020Z0,Apixaban,2013-02-01,66,3214.150000000001
304,0208020Z0,Apixaban,2012-11-01,6,401.72
305,0208020Z0,Apixaban,2018-02-01,307735,13863842.483990066
306,0208020X0,Dabigatran Etexilate,2018-09-01,38505,1813507.8228300523
307,0208020X0,Dabigatran Etexilate,2017-07-01,38072,1763199.421190005
308,0208020Z0,Apixaban,2015-11-01,77543,4008736.0699999994
309,0208020Y0,Rivaroxaban,2014-02-01,31887,1540452.680000001
310,0208020V0,Warfarin Sodium,2013-09-01,898209,1530173.4100000006
311,0208020V0,Warfarin Sodium,2013-11-01,932479,1526301.6300000006
312,0208020V0,Warfarin Sodium,2012-08-01,891829,1485960.7199999988
313,0208020X0,Dabigatran Etexilate,2015-02-01,25961,1495052.9399999988
314,0208020N0,Phenindione,2010-12-01,2332,171359.5100000001
315,0208020Y0,Rivaroxaban,2013-04-01,9774,454390.87
316,0208020H0,Acenocoumarol,2011-01-01,1850,9486.49
317,0208020Z0,Apixaban,2013-11-01,2877,151250.30000000002
318,0208020H0,Acenocoumarol,2013-12-01,3332,16424.129999999997
319,0208020N0,Phenindione,2012-06-01,508,101053.30000000002
320,0208020N0,Phenindione,2014-03-01,183,54418.24999999999
321,0208020X0,Dabigatran Etexilate,2011-02-01,105,8890.249999999995
322,0208020N0,Phenindione,2018-02-01,54,98425.33428000001
323,0208020H0,Acenocoumarol,2017-10-01,2300,11597.734930000039
324,0208020Z0,Apixaban,2017-07-01,262290,11794756.070390018
325,0208020AA,Edoxaban,2018-11-01,39740,1778340.8670999715
326,0208020Y0,Rivaroxaban,2018-05-01,326900,15078282.231010128
327,0208020X0,Dabigatran Etexilate,2016-01-01,31230,1820313.1200000003
328,0208020V0,Warfarin Sodium,2014-05-01,968669,1521572.0900000008
329,0208020H0,Acenocoumarol,2011-02-01,1938,10206.729999999998
330,0208020Y0,Rivaroxaban,2014-01-01,31983,1560143.4200000004
331,0208020X0,Dabigatran Etexilate,2013-09-01,15930,898567.7299999995
332,0208020N0,Phenindione,2011-10-01,1662,240905.86999999997
333,0208020H0,Acenocoumarol,2011-04-01,2235,11183.75000000001
334,0208020N0,Phenindione,2015-09-01,115,113100.99999999993
335,0208020V0,Warfarin Sodium,2016-10-01,856480,1262810.310000001
336,0208020AA,Edoxaban,2015-07-01,1,54.39
337,0208020Y0,Rivaroxaban,2017-06-01,280399,12656619.956070114
338,0208020X0,Dabigatran Etexilate,2016-09-01,36091,1653357.1399999976
339,0208020V0,Warfarin Sodium,2016-01-01,889024,1438184.66
340,0208020V0,Warfarin Sodium,2013-03-01,883831,1296234.970000001
341,0208020V0,Warfarin Sodium,2011-05-01,767482,1282556.6499999997
342,0208020H0,Acenocoumarol,2012-08-01,3258,15843.350000000002
343,0208020N0,Phenindione,2016-01-01,76,147110.10999999996
344,0208020Y0,Rivaroxaban,2012-05-01,318,15849.380000000001
345,0208020Y0,Rivaroxaban,2011-11-01,105,9148.820000000002
346,0208020AA,Edoxaban,2016-10-01,1766,85067.18999999989
347,0208020AA,Edoxaban,2019-01-01,45602,2046924.8888700115
348,0208020H0,Acenocoumarol,2016-08-01,2504,12198.029999999988
349,0208020Z0,Apixaban,2016-03-01,110511,5723538.140000006
350,0208020N0,Phenindione,2017-02-01,66,104002.74087
351,0208020X0,Dabigatran Etexilate,2012-08-01,5008,275122.08999999997
352,0208020Z0,Apixaban,2014-02-01,4892,253179.30999999988
353,0208020H0,Acenocoumarol,2015-11-01,2810,13851.599999999995
354,0208020Y0,Rivaroxaban,2010-10-01,144,12103.959999999994
355,0208020N0,Phenindione,2013-08-01,217,68973.16000000002
356,0208020X0,Dabigatran Etexilate,2011-09-01,293,17952.770000000004
357,0208020Z0,Apixaban,2017-04-01,218109,9826954.468229989
358,0208020Z0,Apixaban,2017-09-01,277837,12554003.455769973
359,0208020Y0,Rivaroxaban,2018-08-01,344731,15891612.97158004
360,0208020H0,Acenocoumarol,2019-02-01,1710,8798.658569999978
361,0208020AA,Edoxaban,2018-06-01,26549,1187221.3817899865
362,0208020Z0,Apixaban,2016-06-01,136490,6131963.930000009
363,0208020Y0,Rivaroxaban,2015-05-01,112573,5666898.150000007
364,0208020V0,Warfarin Sodium,2011-12-01,867643,1269803.7299999997
365,0208020X0,Dabigatran Etexilate,2015-03-01,29247,1686131.1700000006
366,0208020H0,Acenocoumarol,2012-05-01,2919,14854.229999999998
367,0208020H0,Acenocoumarol,2013-06-01,3007,15098.399999999994
368,0208020Z0,Apixaban,2014-03-01,6156,321794.07000000007
369,0208020X0,Dabigatran Etexilate,2012-05-01,2564,135811.93
370,0208020Y0,Rivaroxaban,2012-03-01,194,8984.310000000001
371,0208020Y0,Rivaroxaban,2011-10-01,105,8876.75
372,0208020Y0,Rivaroxaban,2012-01-01,92,3869.2500000000005
373,0208020X0,Dabigatran Etexilate,2017-10-01,39142,1814264.4369299947
374,0208020AA,Edoxaban,2019-04-01,52163,2345385.7576899417
375,0208020AA,Edoxaban,2018-01-01,16627,739230.2087500064
376,0208020N0,Phenindione,2017-08-01,61,130825.44250000002
377,0208020Y0,Rivaroxaban,2019-01-01,354989,16508670.403729845
378,0208020Z0,Apixaban,2016-08-01,154121,6911988.46
379,0208020H0,Acenocoumarol,2017-01-01,2443,12159.929990000008
380,0208020V0,Warfarin Sodium,2010-08-01,708414,1583996.2800000003
381,0208020Y0,Rivaroxaban,2015-08-01,132025,6666589.499999994
382,0208020V0,Warfarin Sodium,2014-01-01,959062,1606852.0199999989
383,0208020Y0,Rivaroxaban,2012-10-01,2405,111377.87
384,0208020Y0,Rivaroxaban,2012-02-01,138,6380.079999999996
385,0208020Y0,Rivaroxaban,2013-02-01,6200,284500.99
386,0208020X0,Dabigatran Etexilate,2011-11-01,548,33739.560000000005
387,0208020Z0,Apixaban,2013-07-01,898,47308.22999999998
388,0208020X0,Dabigatran Etexilate,2018-11-01,40510,1915123.279650007
389,0208020AA,Edoxaban,2017-08-01,9030,417685.7441400014
390,0208020H0,Acenocoumarol,2016-03-01,2833,13862.539999999994
391,0208020V0,Warfarin Sodium,2015-02-01,885739,1677517.5000000005
392,0208020V0,Warfarin Sodium,2011-10-01,764750,1119963.7400000005
393,0208020H0,Acenocoumarol,2014-03-01,3015,14990.029999999999
394,0208020Y0,Rivaroxaban,2013-06-01,13085,617076.0600000006
395,0208020X0,Dabigatran Etexilate,2011-08-01,163,16078.550000000001
396,0208020H0,Acenocoumarol,2014-08-01,3023,15008.019999999995
397,0208020N0,Phenindione,2013-12-01,213,64901.74000000002
398,0208020AA,Edoxaban,2018-10-01,38289,1720824.7198399827
399,0208020H0,Acenocoumarol,2018-07-01,2103,10660.093680000002
400,0208020Y0,Rivaroxaban,2018-04-01,310793,14260722.44832039
